bin_id,latitude,longitude,locality,collection_zone,area_type,bin_capacity_liters,bin_type,installation_date,demand_multiplier,sensor_noise_std_pct,service_window,active
B0001,10.018286162792394,76.36641530663587,East,Z4,School,970,Mixed,2024-12-22,0.8787725774114771,2.2682236587525813,08:00-14:00,1
B0002,9.996268647638479,76.29762863847215,West,Z5,Residential,680,Mixed,2025-01-17,1.052686543673436,1.6469298932942331,08:00-14:00,1
B0003,9.994101311830926,76.31571666018067,South,Z3,Commercial,954,Mixed,2025-04-07,0.8515070354730656,2.1035480246969707,06:00-12:00,1
B0004,10.023191951170045,76.3597050596012,East,Z4,Industrial,1459,Mixed,2024-09-30,0.8546660805556399,2.392276445790272,06:00-12:00,1
B0005,10.020928297424295,76.37484934525908,East,Z4,School,834,Mixed,2024-09-22,0.8373982137943767,1.4348135869208514,08:00-14:00,1
B0006,9.995054665921804,76.2978089649769,West,Z5,Market,1208,Mixed,2025-03-12,0.7923567703311802,1.1529817821854749,08:00-14:00,1
B0007,10.030794801572934,76.3441801568611,North,Z2,Public_Park,617,Mixed,2025-04-04,1.0450949942532037,1.3405846629601388,12:00-18:00,1
B0008,10.035105881847183,76.34553883221365,North,Z2,Residential,887,Organic,2025-04-26,1.1664154205525221,1.792593314597587,08:00-14:00,1
B0009,9.989792095819556,76.31386999400965,South,Z3,Commercial,740,Organic,2025-04-20,1.0460926508830295,1.8028002243657189,06:00-12:00,1
B0010,10.02531926682449,76.37258720329069,East,Z4,Industrial,1163,Mixed,2024-09-11,0.9286695997680877,1.0671064884509762,08:00-14:00,1
B0011,10.023261555204492,76.3695865725398,East,Z4,Commercial,741,Mixed,2025-04-05,1.0425696357793666,1.5663845153038656,06:00-12:00,1
B0012,10.030762704364768,76.34868774904639,North,Z2,Commercial,883,Mixed,2025-05-01,0.9333688734359104,1.3029660584738134,08:00-14:00,1
B0013,10.014197060607094,76.3599856924999,East,Z4,School,601,Organic,2024-12-25,1.0044233516105485,1.1746442571452225,08:00-14:00,1
B0014,10.003339643108518,76.2964815887383,West,Z5,Commercial,979,Mixed,2025-03-06,0.9348480567226646,1.2599577664145047,08:00-14:00,1
B0015,10.019576764929209,76.3654182969645,East,Z4,Residential,787,Mixed,2025-02-13,0.8958411592201658,1.5230634474482434,08:00-14:00,1
B0016,10.021529668065268,76.3673931125718,East,Z4,Industrial,1549,Mixed,2024-09-12,1.1341027759989006,1.5074280407335587,08:00-14:00,1
B0017,10.01269736372394,76.33033423166452,Central,Z1,Residential,793,Mixed,2025-03-05,0.8977308610997617,1.1590878131772537,08:00-14:00,1
B0018,10.01816675433942,76.36112171818226,East,Z4,Market,1324,Mixed,2025-05-11,1.023827008765226,0.8829602820779671,06:00-12:00,1
B0019,10.017822144809424,76.36145549333565,East,Z4,Hospital,1162,Mixed,2024-12-12,1.1824556913686104,2.1861672712732885,08:00-14:00,1
B0020,10.013467056015953,76.33081301410151,Central,Z1,Residential,874,Mixed,2024-10-07,1.024893177052053,2.3837600710102453,06:00-12:00,1
