collection_id,bin_id,truck_id,collection_timestamp,fill_level_at_collection_pct,waste_collected_kg,collection_status,emergency_collection,route_date,route_id
C0000001,B0001,T04,2025-08-06 11:00:00,69.38809027529594,354.08320687225245,Completed,0,2025-08-06,RTE000178
C0000002,B0001,T04,2025-08-13 11:00:00,44.01723811862423,204.62022878760533,Completed,0,2025-08-13,RTE000182
C0000003,B0001,T09,2025-08-20 11:00:00,43.81721602696989,207.72142836546635,Completed,0,2025-08-20,RTE000629
C0000004,B0001,T04,2025-09-08 13:00:00,103.94037221379233,483.25356973216617,Completed,1,2025-09-08,RTE000192
C0000005,B0001,T04,2025-09-10 11:00:00,27.46504983980751,114.7229040830044,Completed,0,2025-09-10,RTE000194
C0000006,B0001,T04,2025-09-17 11:00:00,46.57324942585601,226.7539743466109,Completed,0,2025-09-17,RTE000198
C0000007,B0001,T04,2025-09-24 11:00:00,43.92802553951021,212.2058816381699,Completed,0,2025-09-24,RTE000201
C0000008,B0001,T04,2025-10-01 11:00:00,45.575717241800994,168.38124065519816,Completed,0,2025-10-01,RTE000204
C0000009,B0001,T09,2025-10-08 11:00:00,52.577720514080305,248.8116535626572,Completed,0,2025-10-08,RTE000655
C0000010,B0001,T04,2025-10-15 11:00:00,46.92796748967534,204.26371501940605,Completed,0,2025-10-15,RTE000211
C0000011,B0001,T04,2025-10-22 11:00:00,46.85868940808289,178.63396620013302,Completed,0,2025-10-22,RTE000216
C0000012,B0001,T04,2025-10-29 11:00:00,55.078633910314025,254.7825629711661,Completed,0,2025-10-29,RTE000219
C0000013,B0001,T04,2025-11-12 11:00:00,91.66054811761728,472.49555482493497,Completed,0,2025-11-12,RTE000226
C0000014,B0001,T04,2025-11-19 11:00:00,45.00758025343904,210.8387695646231,Completed,0,2025-11-19,RTE000232
C0000015,B0001,T04,2025-11-26 11:00:00,48.03976197096866,212.44282738864277,Completed,0,2025-11-26,RTE000238
C0000016,B0001,T04,2025-12-03 11:00:00,51.977056523134245,266.3057947343311,Completed,0,2025-12-03,RTE000243
C0000017,B0001,T09,2025-12-10 11:00:00,46.69776730898222,199.5598394431342,Completed,0,2025-12-10,RTE000686
C0000018,B0001,T04,2025-12-24 11:00:00,97.21140797869027,507.60385425569325,Completed,0,2025-12-24,RTE000253
C0000019,B0001,T09,2025-12-31 11:00:00,41.7302153193534,180.9227636098677,Completed,0,2025-12-31,RTE000696
C0000020,B0001,T09,2026-01-07 11:00:00,43.667269001746185,183.23680993194478,Completed,0,2026-01-07,RTE000698
C0000021,B0001,T04,2026-01-14 11:00:00,49.133709816713115,227.51536781412116,Completed,0,2026-01-14,RTE000268
C0000022,B0001,T04,2026-01-21 11:00:00,46.42221243645733,210.16019067884005,Completed,0,2026-01-21,RTE000272
C0000023,B0001,T09,2026-01-28 11:00:00,43.117457087110054,184.88715583811756,Completed,0,2026-01-28,RTE000709
C0000024,B0001,T09,2026-02-04 11:00:00,48.15945770494767,219.23029577593277,Completed,0,2026-02-04,RTE000714
C0000025,B0001,T09,2026-02-11 11:00:00,47.934111323391804,207.147536419776,Completed,0,2026-02-11,RTE000718
C0000026,B0001,T04,2026-02-27 11:00:00,104.33752773603831,483.04605499776517,Completed,1,2026-02-27,RTE000288
C0000027,B0001,T04,2026-03-04 11:00:00,39.68469022574877,160.85139535031527,Completed,0,2026-03-04,RTE000291
C0000028,B0001,T09,2026-03-11 11:00:00,50.87639582540117,257.8143461952483,Completed,0,2026-03-11,RTE000734
C0000029,B0001,T04,2026-03-27 17:00:00,103.1132502829154,462.19582220743433,Completed,1,2026-03-27,RTE000301
C0000030,B0001,T04,2026-04-01 11:00:00,39.21269846251293,191.189451397862,Completed,0,2026-04-01,RTE000304
C0000031,B0001,T09,2026-04-15 11:00:00,83.50569882585643,422.1131602056039,Completed,0,2026-04-15,RTE000752
C0000032,B0001,T04,2026-04-22 11:00:00,46.70115974766515,201.0223517848752,Completed,0,2026-04-22,RTE000315
C0000033,B0001,T09,2026-04-29 11:00:00,52.25723743854933,227.37515483982799,Completed,0,2026-04-29,RTE000760
C0000034,B0001,T09,2026-05-13 11:00:00,91.39892632538799,471.1206459064566,Completed,0,2026-05-13,RTE000768
C0000035,B0001,T09,2026-05-20 11:00:00,46.6167328254015,219.08145162021466,Completed,0,2026-05-20,RTE000772
C0000036,B0001,T04,2026-06-03 11:00:00,90.8762772142375,452.7111557799556,Completed,0,2026-06-03,RTE000331
C0000037,B0001,T09,2026-06-10 11:00:00,48.714289034036725,213.04459137505356,Completed,0,2026-06-10,RTE000783
C0000038,B0001,T04,2026-06-17 11:00:00,46.685765318030086,226.05613176882298,Completed,0,2026-06-17,RTE000337
C0000039,B0001,T09,2026-06-24 11:00:00,46.34322103141636,230.37918797030935,Completed,0,2026-06-24,RTE000793
C0000040,B0001,T04,2026-07-01 11:00:00,45.61235858626777,220.1419564981445,Completed,0,2026-07-01,RTE000344
C0000041,B0001,T09,2026-07-15 11:00:00,83.65313115510588,407.49422639431276,Completed,0,2026-07-15,RTE000805
